food_id,food_name,category,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitamin_c_mg,vitamin_d_iu,cholesterol_mg,saturated_fat_g,glycemic_index,purine_mg,oxalate_mg,contains_gluten,contains_dairy,contains_nuts,contains_eggs,contains_shellfish,contains_fish,contains_soy,contains_sesame,contains_peanuts,contains_sulfites,is_vegetarian,is_vegan,cuisine_type,meal_type,disease_score
F077,Bottle Gourd (Lauki),Vegetable Dishes,14.0,0.6,3.4,0.0,0.5,2.3,2.0,150,26.0,0.2,10.0,0.0,0.0,0.0,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,80
F039,Carrot,Vegetable Dishes,41.0,0.9,10.0,0.2,2.8,4.7,69.0,320,33.0,0.3,5.9,0.0,0.0,0.0,39,0.0,35,False,False,False,False,False,False,False,False,False,False,True,True,Western,lunch_dinner,80
F029,Apple,Fruits,52.0,0.3,14.0,0.2,2.4,10.0,1.0,107,6.0,0.1,4.6,0.0,0.0,0.0,36,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Western,snack,80
F001,White Rice,Breads & Flatbreads,130.0,2.7,28.2,0.3,0.4,0.1,1.0,35,10.0,0.2,0.0,0.0,0.0,0.1,72,7.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Asian,lunch_dinner,70
F090,Green Tea,Beverages,1.0,0.0,0.2,0.0,0.0,0.0,1.0,27,1.0,0.1,0.0,0.0,0.0,0.0,15,0.0,55,False,False,False,False,False,False,False,False,False,False,True,True,Asian,breakfast_snack,60
N421,Cauliflower canjee (Phoolgobhi ki canjee),Indian Foods,6.9,0.4,0.4,0.4,0.5,0.1,41.4,20,6.3,0.22,7.9,0.0,0.0,0.1,15,2.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,60
N009,Cumin infused water (Jeere/Zeere ka pani),Indian Foods,9.1,0.2,1.9,0.1,0.5,1.5,189.6,24,10.8,0.32,3.6,0.0,0.0,0.0,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,60
N004,Iced tea,Beverages,10.3,0.0,2.7,0.0,0.0,2.7,0.2,26,1.2,0.02,6.0,0.0,0.0,0.0,15,0.0,55,False,False,False,False,False,False,False,False,False,False,True,True,Indian,breakfast_snack,60
N791,Pickled cabbage,Accompaniments,13.7,0.4,2.6,0.1,0.6,2.1,121.4,29,16.0,0.19,16.6,0.0,0.0,0.0,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,condiment,60
F042,Cucumber,Vegetable Dishes,15.0,0.7,3.6,0.1,0.5,1.7,2.0,147,16.0,0.3,2.8,0.0,0.0,0.0,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Western,snack,60
