food_id,food_name,category,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitamin_c_mg,vitamin_d_iu,cholesterol_mg,saturated_fat_g,glycemic_index,purine_mg,oxalate_mg,contains_gluten,contains_dairy,contains_nuts,contains_eggs,contains_shellfish,contains_fish,contains_soy,contains_sesame,contains_peanuts,contains_sulfites,is_vegetarian,is_vegan,cuisine_type,meal_type,disease_score
F090,Green Tea,Beverages,1.0,0.0,0.2,0.0,0.0,0.0,1.0,27,1.0,0.1,0.0,0.0,0.0,0.0,15,0.0,55,False,False,False,False,False,False,False,False,False,False,True,True,Asian,breakfast_snack,50
N420,Canjee,Indian Foods,6.6,0.2,0.4,0.4,0.4,0.2,43.0,19,5.8,0.17,0.5,0.0,0.0,0.1,45,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,50
N421,Cauliflower canjee (Phoolgobhi ki canjee),Indian Foods,6.9,0.4,0.4,0.4,0.5,0.1,41.4,20,6.3,0.22,7.9,0.0,0.0,0.1,15,2.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,50
N441,White stock,Indian Foods,7.0,0.1,0.4,0.6,0.2,0.2,1.6,18,1.6,0.03,2.6,0.0,0.0,0.2,45,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,50
N009,Cumin infused water (Jeere/Zeere ka pani),Indian Foods,9.1,0.2,1.9,0.1,0.5,1.5,189.6,24,10.8,0.32,3.6,0.0,0.0,0.0,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,50
N004,Iced tea,Beverages,10.3,0.0,2.7,0.0,0.0,2.7,0.2,26,1.2,0.02,6.0,0.0,0.0,0.0,15,0.0,55,False,False,False,False,False,False,False,False,False,False,True,True,Indian,breakfast_snack,50
N442,Cold cucumber cream soup,Soups,11.9,0.3,1.8,0.3,0.7,0.5,207.9,25,8.0,0.16,14.7,0.0,1.0,0.1,15,0.0,0,False,True,False,False,False,False,False,False,False,False,True,False,Continental,lunch_dinner,50
F112,Kahwa,Beverages,12.0,0.2,2.8,0.1,0.2,2.1,5.0,45,18.0,0.2,2.5,0.0,0.0,0.0,45,0.0,0,False,False,True,False,False,False,False,False,False,False,True,True,Kashmiri,breakfast_snack,50
F087,Almond Milk (unsweetened),Beverages,13.0,0.4,0.3,1.1,0.3,0.0,63.0,67,184.0,0.4,0.0,100.0,0.0,0.1,75,0.0,465,False,False,True,False,False,False,False,False,False,False,True,True,Western,breakfast,50
N788,Pickled mustard greens,Accompaniments,13.1,1.5,1.0,0.2,1.7,0.0,242.4,29,81.4,1.22,301.6,0.0,0.0,0.1,45,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,condiment,50
