food_id,food_name,category,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitamin_c_mg,vitamin_d_iu,cholesterol_mg,saturated_fat_g,glycemic_index,purine_mg,oxalate_mg,contains_gluten,contains_dairy,contains_nuts,contains_eggs,contains_shellfish,contains_fish,contains_soy,contains_sesame,contains_peanuts,contains_sulfites,is_vegetarian,is_vegan,cuisine_type,meal_type,disease_score
F037,Spinach,Vegetable Dishes,23.0,2.9,3.6,0.4,2.2,0.4,79.0,558,99.0,2.7,28.1,0.0,0.0,0.1,15,12.0,750,False,False,False,False,False,False,False,False,False,False,True,True,Western,lunch_dinner,85
F036,Broccoli,Vegetable Dishes,34.0,2.8,7.0,0.4,2.6,1.7,33.0,316,47.0,0.7,89.2,0.0,0.0,0.1,10,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Western,lunch_dinner,85
F038,Kale,Vegetable Dishes,49.0,4.3,9.0,0.9,3.6,2.3,38.0,491,150.0,1.5,93.4,0.0,0.0,0.1,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Western,lunch_dinner,85
F008,Lentils (cooked),Dals & Legumes,116.0,9.0,20.0,0.4,8.0,1.8,2.0,369,19.0,3.3,1.5,0.0,0.0,0.1,32,45.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,80
F009,Chickpeas (cooked),Dals & Legumes,164.0,9.0,27.0,2.6,8.0,4.8,7.0,291,49.0,2.9,1.3,0.0,0.0,0.3,28,56.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Mediterranean,lunch_dinner,80
F002,Brown Rice,Breads & Flatbreads,216.0,4.5,44.8,1.8,3.5,0.7,7.0,154,20.0,1.0,0.0,0.0,0.0,0.3,50,9.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Asian,lunch_dinner,70
F006,Quinoa,Breads & Flatbreads,368.0,14.0,64.0,6.0,7.0,0.0,5.0,563,47.0,4.6,0.0,0.0,0.0,1.0,53,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,South American,lunch_dinner,70
F090,Green Tea,Beverages,1.0,0.0,0.2,0.0,0.0,0.0,1.0,27,1.0,0.1,0.0,0.0,0.0,0.0,15,0.0,55,False,False,False,False,False,False,False,False,False,False,True,True,Asian,breakfast_snack,65
N421,Cauliflower canjee (Phoolgobhi ki canjee),Indian Foods,6.9,0.4,0.4,0.4,0.5,0.1,41.4,20,6.3,0.22,7.9,0.0,0.0,0.1,15,2.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
N009,Cumin infused water (Jeere/Zeere ka pani),Indian Foods,9.1,0.2,1.9,0.1,0.5,1.5,189.6,24,10.8,0.32,3.6,0.0,0.0,0.0,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
N004,Iced tea,Beverages,10.3,0.0,2.7,0.0,0.0,2.7,0.2,26,1.2,0.02,6.0,0.0,0.0,0.0,15,0.0,55,False,False,False,False,False,False,False,False,False,False,True,True,Indian,breakfast_snack,65
N791,Pickled cabbage,Accompaniments,13.7,0.4,2.6,0.1,0.6,2.1,121.4,29,16.0,0.19,16.6,0.0,0.0,0.0,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,condiment,65
F077,Bottle Gourd (Lauki),Vegetable Dishes,14.0,0.6,3.4,0.0,0.5,2.3,2.0,150,26.0,0.2,10.0,0.0,0.0,0.0,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
F042,Cucumber,Vegetable Dishes,15.0,0.7,3.6,0.1,0.5,1.7,2.0,147,16.0,0.3,2.8,0.0,0.0,0.0,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Western,snack,65
N412,Steeped hot coffee,Beverages,15.9,0.4,3.0,0.3,0.0,3.0,2.8,31,10.4,0.06,0.3,0.0,0.0,0.1,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,breakfast_snack,65
N789,Small onion pickle,Accompaniments,16.9,1.6,2.8,0.6,1.1,3.0,249.5,38,32.0,1.2,19.4,0.0,0.0,0.2,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,condiment,65
N443,Cold tomato soup,Soups,16.9,0.1,0.6,1.6,0.2,0.2,287.2,21,4.2,0.1,10.1,0.0,0.0,0.5,15,0.0,50,False,False,False,False,False,False,False,False,False,False,True,True,Continental,lunch_dinner,65
F078,Bitter Gourd (Karela),Vegetable Dishes,17.0,1.0,3.7,0.2,2.8,1.7,5.0,296,19.0,0.4,84.0,0.0,0.0,0.0,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
F041,Tomato,Vegetable Dishes,18.0,0.9,3.9,0.2,1.2,2.6,5.0,237,10.0,0.3,13.7,0.0,0.0,0.0,30,0.0,50,False,False,False,False,False,False,False,False,False,False,True,True,Western,lunch_dinner,65
N894,Tomato puree,Indian Foods,20.6,0.8,3.7,0.2,1.6,2.3,245.0,36,8.9,0.22,18.0,0.0,0.0,0.1,15,0.0,50,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
F074,Mushroom,Vegetable Dishes,22.0,3.1,3.3,0.3,1.0,1.7,5.0,318,3.0,0.5,2.1,446.0,0.0,0.1,10,12.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Western,lunch_dinner,65
F217,Jaljeera,Beverages,22.0,0.5,4.8,0.2,0.5,2.5,285.0,85,18.0,0.5,5.5,0.0,0.0,0.0,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,breakfast_snack,65
E060,Gundruk,Accompaniments,22.0,2.5,3.5,0.2,2.8,1.2,385.0,185,52.0,1.8,22.5,0.0,0.0,0.1,10,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Nepali/Sikkimese,condiment,65
N858,Bottle gourd soup (Ghiya/Lauki soup),Soups,23.0,0.4,1.2,1.8,1.0,0.4,53.8,26,15.1,0.26,6.0,0.0,0.0,0.5,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Continental,lunch_dinner,65
N002,Instant coffee,Beverages,23.2,0.6,3.6,0.8,0.0,3.6,4.9,35,20.9,0.06,1.5,0.0,0.0,0.2,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,breakfast_snack,65
N480,Moong dal with vadi,Dals & Legumes,24.1,0.4,1.0,2.0,0.4,0.4,112.4,25,3.0,0.18,10.2,0.0,0.0,0.6,30,2.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
N411,Kashmiri tea (Kehwa),Beverages,24.9,0.2,5.2,0.5,0.2,5.1,0.3,39,3.2,0.07,0.1,0.0,0.0,0.2,15,0.0,55,False,False,False,False,False,False,False,False,False,False,True,True,Kashmiri,breakfast_snack,65
N481,Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),Soups,26.7,1.1,3.4,0.9,1.6,0.8,104.1,38,16.6,0.59,17.3,0.0,0.0,0.3,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Tamil Nadu,lunch_dinner,65
F124,Rasam,Vegetable Dishes,28.0,1.2,4.8,0.5,1.2,2.2,380.0,185,22.0,0.8,12.5,0.0,0.0,0.1,15,35.0,0,False,False,False,False,False,False,False,False,False,False,True,True,South Indian,lunch_dinner,65
F043,Bell Pepper,Vegetable Dishes,31.0,1.0,6.0,0.3,2.1,4.2,4.0,211,7.0,0.4,127.7,0.0,0.0,0.0,40,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Western,lunch_dinner,65
N064,Hot and sour soup,Soups,31.5,3.1,1.8,1.3,0.6,0.7,163.3,45,10.7,0.43,24.6,0.0,0.0,0.4,25,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Continental,lunch_dinner,65
E027,Saaru,Soups,32.0,1.5,5.5,0.5,1.8,1.8,320.0,145,18.0,1.2,12.5,0.0,0.0,0.1,15,35.0,0,False,False,False,False,False,False,False,True,False,False,True,True,Karnataka,lunch_dinner,65
F032,Strawberry,Fruits,32.0,0.7,7.7,0.3,2.0,4.9,1.0,153,16.0,0.4,58.8,0.0,0.0,0.0,40,0.0,1,False,False,False,False,False,False,False,False,False,False,True,True,Western,snack,65
N135,Sprouted moong dal chat,Dals & Legumes,32.5,1.4,6.0,0.3,1.4,1.6,87.1,50,16.5,0.88,38.8,0.0,0.0,0.1,30,7.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
F086,Soya Milk,Beverages,33.0,2.9,1.7,1.8,0.6,1.0,51.0,110,25.0,0.4,0.0,119.0,0.0,0.2,34,0.0,54,False,False,False,False,False,False,True,False,False,False,True,True,Asian,breakfast,65
N900,Tomato ketchup,Indian Foods,33.1,0.9,6.5,0.3,1.9,4.7,178.0,49,15.3,0.36,18.0,0.0,0.0,0.1,15,0.0,50,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
N893,Tomato sauce,Indian Foods,34.3,0.8,7.2,0.3,1.8,5.7,174.8,51,13.0,0.31,18.0,0.0,0.0,0.1,15,0.0,50,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
N477,Sour lentils (Khatti dal),Dals & Legumes,34.8,2.2,6.0,0.1,1.2,1.2,115.6,55,8.3,0.85,1.9,0.0,0.0,0.0,30,11.0,0,False,False,False,False,False,False,False,True,False,False,True,True,Indian,lunch_dinner,65
F079,Drumstick (Moringa),Vegetable Dishes,37.0,2.1,8.5,0.2,3.2,0.0,42.0,461,30.0,0.4,141.0,0.0,0.0,0.0,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
N220,Sprouted moong salad,Dals & Legumes,37.8,2.3,5.5,0.7,1.0,2.1,116.4,54,54.6,1.45,27.8,0.0,0.0,0.2,30,12.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
E064,Moringa Soup,Soups,38.0,2.5,5.5,0.5,2.8,1.5,285.0,385,85.0,1.8,105.0,0.0,0.0,0.1,20,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,South Indian,breakfast_snack,65
N176,Baked brinjal in tomato sauce,Indian Foods,38.6,1.6,4.1,1.6,2.3,2.2,79.7,46,26.2,0.32,68.4,0.0,0.0,0.5,15,0.0,50,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
F058,Idli,Indian Foods,39.0,2.0,7.8,0.1,0.5,0.1,197.0,108,14.0,0.5,0.0,0.0,0.0,0.0,35,0.0,0,False,False,False,False,False,False,True,False,False,False,True,True,Indian,breakfast,65
F044,Onion,Vegetable Dishes,40.0,1.1,9.3,0.1,1.7,4.2,4.0,146,23.0,0.2,7.4,0.0,0.0,0.0,10,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Western,lunch_dinner,65
N860,Pumpkin soup,Soups,40.0,0.5,2.1,3.2,1.2,1.5,45.5,33,12.2,0.19,11.5,0.0,0.0,1.0,40,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Continental,lunch_dinner,65
N540,Broccoli delight,Indian Foods,40.7,2.5,2.3,2.5,2.8,1.1,59.3,45,27.0,0.71,79.0,0.0,0.0,0.7,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
F039,Carrot,Vegetable Dishes,41.0,0.9,10.0,0.2,2.8,4.7,69.0,320,33.0,0.3,5.9,0.0,0.0,0.0,39,0.0,35,False,False,False,False,False,False,False,False,False,False,True,True,Western,lunch_dinner,65
F192,Mint Chutney,Indian Foods,42.0,2.2,6.5,0.8,3.2,1.5,285.0,285,52.0,3.2,22.5,0.0,0.0,0.2,10,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,condiment,65
E048,Khar,Vegetable Dishes,42.0,1.5,6.5,1.2,2.8,1.5,580.0,185,22.0,0.8,5.5,0.0,0.0,0.3,20,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Assamese,lunch_dinner,65
N636,Mint tomato chutney (Pudinay aur tamatar ki chutney),Vegetable Dishes,43.6,1.5,8.2,0.4,2.6,5.5,184.0,60,47.6,2.06,4.1,0.0,0.0,0.1,15,0.0,50,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
N896,Dal moong,Dals & Legumes,43.7,2.2,4.9,1.6,1.1,0.1,117.7,53,7.7,0.52,0.0,0.0,0.0,0.5,30,11.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
N635,Tomato ginger chutney (Tamatar adarak ki chutney),Vegetable Dishes,44.7,1.0,9.1,0.3,2.1,6.3,209.4,60,23.6,1.08,3.6,0.0,0.0,0.1,15,0.0,50,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
F094,Sprouts (mixed),Dals & Legumes,45.0,4.5,6.3,0.4,1.8,0.0,14.0,253,24.0,1.5,12.4,0.0,0.0,0.1,25,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,breakfast_snack,65
F030,Orange,Fruits,47.0,0.9,12.0,0.1,2.4,9.0,0.0,181,40.0,0.1,53.2,0.0,0.0,0.0,40,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Western,snack,65
N498,Spinach mushroom (Palak mushroom),Vegetable Dishes,47.6,1.9,3.0,3.0,2.3,1.0,71.0,45,49.8,1.69,60.2,200.0,0.0,0.9,15,8.0,750,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
F219,Sol Kadhi,Beverages,48.0,0.8,4.5,2.5,0.5,1.5,185.0,285,18.0,0.5,5.5,0.0,0.0,0.5,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Konkan,breakfast_snack,65
F080,Fenugreek Leaves (Methi),Vegetable Dishes,49.0,4.4,6.0,0.9,2.7,0.0,76.0,770,395.0,1.9,3.0,0.0,0.0,0.1,15,0.0,380,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
N117,Washed moong dal (Dhuli moong ki dal),Dals & Legumes,50.0,2.7,5.9,1.7,1.2,0.1,150.6,60,8.5,0.64,0.0,0.0,0.0,0.5,30,14.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
N561,Tomato aspic,Indian Foods,50.4,6.9,5.0,0.3,1.6,3.2,98.2,81,44.3,1.18,35.9,0.0,0.0,0.1,15,0.0,50,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,65
N003,Espreso coffee,Beverages,51.5,1.8,6.6,2.1,0.0,6.5,14.0,58,58.1,0.15,1.5,0.0,0.0,0.6,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,breakfast_snack,65
F029,Apple,Fruits,52.0,0.3,14.0,0.2,2.4,10.0,1.0,107,6.0,0.1,4.6,0.0,0.0,0.0,36,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Western,snack,65
N711,Lentils and wheat porridge (Dal wheat porridge/daliya ),Dals & Legumes,52.5,2.7,8.4,0.9,1.3,0.9,62.8,69,26.3,0.52,0.6,0.0,0.0,0.3,30,14.0,0,True,False,False,False,False,False,False,True,False,False,True,True,Indian,lunch_dinner,65
