day,meal_slot,food_name,category,portion_g,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg
Monday,breakfast,Siddu,Breads & Flatbreads,124.0,353.4,11.8,52.7,10.9,5.2,353.4
Monday,breakfast,Instant idli (with semolina),South Indian Breakfast,75.0,185.5,6.9,32.5,2.7,5.3,1128.5
Monday,breakfast,Masala dosa mixed vegetable fillings,South Indian Breakfast,75.0,108.4,3.6,17.2,2.5,3.2,91.6
Monday,mid_morning,Semolina dhokla (Suji/Rava dhokla),Snacks & Street Food,109.0,212.4,5.9,33.7,5.7,5.6,483.3
Monday,mid_morning,Jain Handvo,Snacks & Street Food,55.0,107.2,4.1,15.7,3.0,2.6,211.8
Monday,lunch,Rezala,Meat Dishes,180.0,477.0,36.9,13.5,33.3,2.7,1044.0
Monday,lunch,Dal Bafla,Indian Foods,75.0,268.5,8.6,39.4,8.6,5.6,390.0
Monday,lunch,Chha Gosht,Meat Dishes,60.0,159.0,13.5,4.1,9.9,0.9,372.0
Monday,lunch,Feijoada (Goan),Meat Dishes,60.0,159.0,9.3,11.1,8.7,3.3,408.0
Monday,dinner,Bhapa Ilish,Seafood,163.0,355.3,33.4,5.7,22.0,2.0,847.6
Monday,dinner,Rezala,Meat Dishes,67.0,177.6,13.7,5.0,12.4,1.0,388.6
Monday,dinner,Soyabean curry,Vegetable Dishes,75.0,122.5,7.8,5.1,7.7,5.5,264.5
Monday,dinner,Quinoa,Breads & Flatbreads,50.0,184.0,7.0,32.0,3.0,3.5,2.5
Tuesday,breakfast,Jain Paratha (plain),Breads & Flatbreads,150.0,297.0,8.7,42.8,11.2,6.3,277.5
Tuesday,breakfast,Koki,Breads & Flatbreads,77.0,206.4,5.8,27.3,8.9,3.5,323.4
Tuesday,breakfast,Siddu,Breads & Flatbreads,50.0,142.5,4.8,21.2,4.4,2.1,142.5
Tuesday,mid_morning,Protein Powder (whey),Beverages,100.0,400.0,75.0,8.0,7.0,0.0,300.0
Tuesday,mid_morning,Pea Protein Powder,Beverages,100.0,380.0,80.0,8.0,8.0,5.0,450.0
Tuesday,lunch,Bhapa Ilish,Seafood,180.0,392.4,36.9,6.3,24.3,2.2,936.0
Tuesday,lunch,Kashmiri Rogan Josh,Indian Foods,123.0,301.4,27.7,8.4,18.2,2.2,836.4
Tuesday,lunch,Pearl millet infant food (Bajra shishu aahaar),Indian Foods,75.0,271.8,9.0,46.6,5.0,5.8,9.5
Tuesday,dinner,Laal Maas,Indian Foods,134.0,355.1,32.4,7.8,22.1,2.0,964.8
Tuesday,dinner,Kasha Mangsho,Meat Dishes,64.0,177.9,14.4,5.4,11.2,1.4,435.2
Tuesday,dinner,Chha Gosht,Meat Dishes,60.0,159.0,13.5,4.1,9.9,0.9,372.0
Tuesday,dinner,Tuna Curry (Indian),Indian Foods,75.0,121.5,16.9,4.9,4.3,1.1,435.0
Wednesday,breakfast,Amritsari Kulcha,Breads & Flatbreads,119.0,354.6,9.3,50.6,13.7,4.2,690.2
Wednesday,breakfast,Instant idli (with semolina),South Indian Breakfast,75.0,185.5,6.9,32.5,2.7,5.3,1128.5
Wednesday,mid_morning,Jain Handvo,Snacks & Street Food,109.0,212.6,8.2,31.1,6.0,5.2,419.6
Wednesday,lunch,Kosha Mangsho,Indian Foods,187.0,495.6,42.1,15.9,30.9,4.1,1271.6
Wednesday,lunch,Dal Bafla,Indian Foods,75.0,268.5,8.6,39.4,8.6,5.6,390.0
Wednesday,lunch,Besan bathua chilla/cheela,Indian Foods,75.0,280.4,8.6,30.4,13.9,5.8,124.8
Wednesday,lunch,Maa chaane ki dal,Dals & Legumes,150.0,517.05,29.7,64.7,14.2,20.1,65.0
Wednesday,dinner,Chettinad Chicken Curry,Vegetable Dishes,182.0,354.9,37.3,12.4,19.1,4.0,1237.6
Wednesday,dinner,Lemon chicken,Meat Dishes,104.0,176.6,21.0,0.6,10.1,0.2,83.1
Wednesday,dinner,Chha Gosht,Meat Dishes,60.0,159.0,13.5,4.1,9.9,0.9,372.0
Thursday,breakfast,Koki,Breads & Flatbreads,132.0,353.8,9.9,46.9,15.2,5.9,554.4
Thursday,breakfast,Jain Thalipeeth,Breads & Flatbreads,94.0,176.7,7.0,26.8,5.2,5.2,267.9
Thursday,breakfast,Kuttu Roti (Buckwheat),Breads & Flatbreads,50.0,97.5,2.8,17.8,1.6,2.2,14.0
Thursday,mid_morning,Kothimbir Vadi,Snacks & Street Food,113.0,212.4,5.1,25.4,10.7,4.0,655.4
Thursday,mid_morning,Sarva Pindi,Snacks & Street Food,57.0,105.5,3.1,16.2,3.7,2.6,182.4
Thursday,lunch,Feijoada (Goan),Meat Dishes,180.0,477.0,27.9,33.3,26.1,9.9,1224.0
Thursday,lunch,Maa chaane ki dal,Dals & Legumes,75.0,258.5,14.8,32.3,7.1,10.1,32.5
Thursday,lunch,Shorshe Ilish,Indian Foods,75.0,176.2,16.9,3.4,10.9,0.9,435.0
Thursday,lunch,Kashmiri Rogan Josh,Indian Foods,75.0,183.8,16.9,5.1,11.1,1.4,510.0
Thursday,dinner,Chettinad Chicken Curry,Vegetable Dishes,182.0,354.9,37.3,12.4,19.1,4.0,1237.6
Thursday,dinner,Quinoa,Breads & Flatbreads,50.0,184.0,7.0,32.0,3.0,3.5,2.5
Thursday,dinner,Tuna Curry (Indian),Indian Foods,75.0,121.5,16.9,4.9,4.3,1.1,435.0
Thursday,dinner,Salmon (cooked),Seafood,60.0,124.8,12.0,0.0,7.8,0.0,35.4
Friday,breakfast,Siddu,Breads & Flatbreads,124.0,353.4,11.8,52.7,10.9,5.2,353.4
Friday,breakfast,Masala dosa mixed vegetable fillings,South Indian Breakfast,123.0,177.7,5.9,28.3,4.1,5.3,150.2
Friday,breakfast,Jain Thalipeeth,Breads & Flatbreads,50.0,94.0,3.8,14.2,2.8,2.8,142.5
Friday,mid_morning,Protein Powder (whey),Beverages,100.0,400.0,75.0,8.0,7.0,0.0,300.0
Friday,mid_morning,Dhuska,Snacks & Street Food,40.0,74.0,2.2,11.4,2.6,1.4,114.0
Friday,lunch,Chettinad Chicken Curry,Vegetable Dishes,225.0,438.8,46.1,15.3,23.6,5.0,1530.0
Friday,lunch,Maa chaane ki dal,Dals & Legumes,80.0,275.8,15.8,34.5,7.6,10.7,34.6
Friday,lunch,Laal Maas,Indian Foods,75.0,198.8,18.1,4.3,12.4,1.1,540.0
Friday,lunch,Dal Bafla,Indian Foods,75.0,268.5,8.6,39.4,8.6,5.6,390.0
Friday,dinner,Roast chicken,Meat Dishes,177.0,353.8,36.3,0.2,23.2,0.0,126.9
Friday,dinner,Lemon chicken,Meat Dishes,105.0,178.3,21.2,0.6,10.2,0.2,83.9
Friday,dinner,Chettinad Chicken Curry,Vegetable Dishes,75.0,146.2,15.4,5.1,7.9,1.6,510.0
Friday,dinner,Bhapa Ilish,Seafood,60.0,130.8,12.3,2.1,8.1,0.7,312.0
Saturday,breakfast,Jain Paratha (plain),Breads & Flatbreads,150.0,297.0,8.7,42.8,11.2,6.3,277.5
Saturday,breakfast,Jain Besan Chilla,Breakfast Cereals & Porridge,125.0,206.2,11.9,28.1,5.6,6.9,356.2
Saturday,breakfast,Jain Thalipeeth,Breads & Flatbreads,55.0,103.4,4.1,15.7,3.0,3.0,156.8
Saturday,mid_morning,Jain Handvo,Snacks & Street Food,109.0,212.6,8.2,31.1,6.0,5.2,419.6
Saturday,mid_morning,Pea Protein Powder,Beverages,100.0,380.0,80.0,8.0,8.0,5.0,450.0
Saturday,lunch,Chettinad Chicken Curry,Vegetable Dishes,225.0,438.8,46.1,15.3,23.6,5.0,1530.0
Saturday,lunch,Besan bathua chilla/cheela,Indian Foods,75.0,280.4,8.6,30.4,13.9,5.8,124.8
Saturday,lunch,Sajina,Indian Foods,75.0,259.0,8.1,50.2,2.2,5.7,8.8
Saturday,lunch,Kasha Mangsho,Meat Dishes,60.0,166.8,13.5,5.1,10.5,1.3,408.0
Saturday,dinner,Bhapa Ilish,Seafood,163.0,355.3,33.4,5.7,22.0,2.0,847.6
Saturday,dinner,Tandoori Chicken,Indian Foods,96.0,177.6,27.4,4.0,6.5,0.8,652.8
Saturday,dinner,Rezala,Meat Dishes,60.0,159.0,12.3,4.5,11.1,0.9,348.0
Saturday,dinner,Chingri Malai Curry,Indian Foods,75.0,168.8,15.4,4.3,10.1,0.9,390.0
Sunday,breakfast,Jain Methi Thepla,Breads & Flatbreads,150.0,297.0,9.8,42.8,10.8,6.8,480.0
Sunday,breakfast,Oats,Breads & Flatbreads,53.0,206.2,9.0,35.0,3.7,5.3,1.1
Sunday,breakfast,Instant idli (with semolina),South Indian Breakfast,75.0,185.5,6.9,32.5,2.7,5.3,1128.5
Sunday,mid_morning,Semolina dhokla (Suji/Rava dhokla),Snacks & Street Food,109.0,212.4,5.9,33.7,5.7,5.6,483.3
Sunday,mid_morning,Sarva Pindi,Snacks & Street Food,57.0,105.5,3.1,16.2,3.7,2.6,182.4
Sunday,lunch,Quinoa,Breads & Flatbreads,135.0,496.8,18.9,86.4,8.1,9.4,6.8
Sunday,lunch,Sajina,Indian Foods,75.0,259.0,8.1,50.2,2.2,5.7,8.8
Sunday,lunch,Chicken Thigh (cooked),Meat Dishes,60.0,125.4,15.6,0.0,6.6,0.0,55.8
Sunday,dinner,Chicken Thigh (cooked),Meat Dishes,170.0,355.3,44.2,0.0,18.7,0.0,158.1
Sunday,dinner,Feijoada (Goan),Meat Dishes,67.0,177.6,10.4,12.4,9.7,3.7,455.6
Sunday,dinner,Kasha Mangsho,Meat Dishes,60.0,166.8,13.5,5.1,10.5,1.3,408.0
Sunday,dinner,Kashmiri Rogan Josh,Indian Foods,75.0,183.8,16.9,5.1,11.1,1.4,510.0
